Campaign_ID,Launch_Date,Channel,Ad_Spend,Impressions,Clicks,Conversions,Revenue
CMP-01,2024-03-01,Google Search,5000,120000,4500,220,18500
CMP-02,2024-03-02,Facebook Ads,3500,95000,3100,140,9800
CMP-03,2024-03-03,Email Newsletter,800,25000,1800,160,11200
CMP-04,2024-03-04,LinkedIn Ads,4200,60000,1900,95,14200
CMP-05,2024-03-05,YouTube Video,6500,210000,5200,180,16500
CMP-06,2024-03-06,TikTok Ads,2800,180000,6100,130,7900
CMP-07,2024-03-07,Google Search,5500,135000,4900,245,21000
CMP-08,2024-03-08,Facebook Ads,3200,88000,2900,125,8400
CMP-09,2024-03-09,Influencer,4000,150000,3800,110,9500
CMP-10,2024-03-10,Email Newsletter,750,24000,1750,155,10800
CMP-11,2024-03-11,Google Search,,110000,4100,210,17800
CMP-12,2024-03-12,LinkedIn Ads,4500,65000,,105,15300
CMP-13,2024-03-13,TikTok Ads,3100,195000,6800,,8600
CMP-14,2024-03-14,Google Search,6000,145000,5300,260,23400
CMP-15,2024-03-15,Facebook Ads,3800,102000,3400,150,10500
CMP-16,2024-03-16,YouTube Video,7000,225000,5600,195,18200
CMP-17,2024-03-17,Email Newsletter,900,28000,1950,175,12400
CMP-18,2024-03-18,LinkedIn Ads,4800,68000,2100,115,16100
CMP-19,2024-03-19,Google Search,5200,128000,4700,235,20100
CMP-20,2024-03-20,Facebook Ads,3400,92000,3000,135,9200
